"Runtime","Genre","Rating","Year"
99,"Drama",8.2,1978
107,"Biography",8.1,1975
152,"Biography",7.7,NA
170,"Comedy",8.1,1995
121,"Adventure",7.6,1995
87,"Animation",8.1,1997
130,"Comedy",8,1979
101,"Animation",7.8,2016
91,"Comedy",7.9,1971
129,"Drama",7.7,1982
92,"Animation",8.1,2009
107,"Comedy",7.9,1986
100,"Film-Noir",8,1941
126,"Animation",7.8,2013
125,"Animation",7.7,1940
145,"Drama",7.7,2006
81,"Crime",7.6,1998
126,"Drama",7.7,1976
91,"Drama",8.2,1957
84,"Crime",8,1956
93,"Animation",8.1,2014
141,"Biography",7.8,1984
127,"Drama",7.9,2012
135,"Drama",7.6,2002
115,"Adventure",7.7,2013
170,"Drama",8,1946
89,"Drama",8.3,1948
94,"Animation",7.6,2010
94,"Animation",7.8,2017
99,"Crime",8.1,1959
99,"Animation",7.8,2001
92,"Comedy",7.6,2005
126,"Adventure",8.2,1948
134,"Drama",8.1,1962
96,"Mystery",7.8,1938
94,"Drama",8,1950
87,"Drama",8.2,2013
126,"Drama",7.9,1962
178,"Action",7.8,1962
95,"Adventure",7.6,1979
87,"Comedy",8.5,1931
86,"Drama",7.8,NA
94,"Drama",7.9,1993
125,"Action",7.8,2008
104,"Action",7.7,1974
105,"Drama",7.6,2004
123,"Drama",8.1,1962
108,"Comedy",7.8,1967
99,"Drama",8.1,1994
109,"Drama",7.6,1981
105,"Comedy",7.7,1968
143,"Drama",8.3,1952
155,"Crime",7.9,2009
119,"Biography",7.8,NA
105,"Comedy",8.1,1934
86,"Drama",8,1945
159,"Drama",7.8,1996
102,"Comedy",8.1,1973
89,"Comedy",7.6,2003
179,"Drama",8.2,1961
188,"Comedy",7.7,1993
92,"Crime",8,1955
89,"Drama",8.3,1997
96,"Comedy",7.8,2016
172,"Biography",7.9,1970
143,"Crime",8.4,1963
205,"Biography",8.1,1966
109,"Crime",7.8,2002
105,"Drama",8,1998
122,"Biography",7.7,2007
103,"Drama",8,2003
95,"Action",7.9,1972
189,"Drama",8.1,1995
129,"Comedy",8.1,1939
100,"Drama",7.7,1967
169,"Drama",8.1,1998
157,"Crime",7.9,2011
114,"Crime",7.9,1946
107,"Drama",7.6,2008
113,"Drama",8,1970
98,"Drama",7.8,1991
118,"Drama",7.9,1955
90,"Crime",7.6,2004
156,"Action",8.2,2018
111,"Animation",7.9,1995
81,"Animation",7.7,1999
134,"Biography",7.9,1968
92,"Drama",7.7,1951
133,"Action",7.8,1948
167,"Action",8.2,2017
161,"Crime",8,1959
134,"Drama",8,1961
138,"Drama",7.7,1964
140,"Crime",7.6,2014
99,"Comedy",7.6,1991
108,"Animation",7.7,2015
119,"Drama",7.7,1997
121,"Comedy",7.7,2003
112,"Comedy",7.6,1973
127,"Drama",7.6,2017
95,"Comedy",7.7,2001
70,"Drama",7.8,1931
143,"Crime",7.8,1973
106,"Drama",7.7,1962
131,"Drama",8,1966
129,"Crime",7.6,2002
100,"Drama",7.8,2015
186,"Comedy",8,2003
139,"Adventure",8.1,1958
158,"Adventure",8.1,1982
111,"Drama",7.8,2012
102,"Action",7.9,1938
115,"Action",8.1,2007
101,"Action",8,2002
112,"Drama",7.9,2002
126,"Adventure",7.8,2004
136,"Drama",8.2,1953
133,"Drama",7.6,2004
123,"Comedy",7.9,1973
90,"Animation",7.8,2003
107,"Comedy",7.7,1987
94,"Animation",7.7,1992
103,"Animation",7.7,2014
91,"Animation",7.6,1978
64,"Drama",7.9,1932
152,"Drama",8,1930
105,"Adventure",7.7,1951
71,"Animation",7.6,2009
112,"Biography",8,2007
137,"Animation",8,2013
108,"Drama",8,1958
127,"Comedy",8.1,1998
68,"Comedy",8.3,1921
144,"Drama",7.8,2009
96,"Adventure",7.8,1939
129,"Drama",8,1940
224,"Adventure",8.1,2001
118,"Drama",7.6,2010
136,"Comedy",8,1996
93,"Action",7.8,1932
153,"Drama",8,2019
127,"Biography",7.8,2005
105,"Crime",8.1,1967
100,"Horror",7.8,1961
126,"Biography",8,NA
120,"Drama",7.7,2006
97,"Crime",8,1947
88,"Drama",8,1944
91,"Comedy",8,1934
88,"Crime",8,2004
92,"Comedy",7.6,1994
98,"Biography",7.6,2013
76,"Fantasy",8.1,1920
94,"Animation",7.9,1993
105,"Drama",7.7,1965
92,"Comedy",7.9,1940
180,"Drama",8,1980
101,"Drama",7.8,1999
120,"Biography",7.7,1966
80,"Drama",8,1962
124,"Drama",7.8,2016
157,"Drama",7.6,1971
102,"Comedy",7.9,1938
110,"Drama",7.7,1946
108,"Drama",8,1954
128,"Crime",8.2,1996
82,"Comedy",7.7,1985
71,"Horror",7.7,1933
177,"Biography",8.2,1976
87,"Comedy",7.6,1964
118,"Crime",8.2,1955
118,"Comedy",8,1944
101,"Drama",7.7,1960
121,"Drama",8.1,1966
107,"Comedy",7.8,1986
104,"Comedy",7.9,1989
155,"Comedy",8.1,2011
120,"Comedy",8,1953
110,"Drama",8,2003
129,"Comedy",7.8,1991
107,"Mystery",7.7,1988
108,"Thriller",7.8,1967
131,"Adventure",8.1,1953
95,"Drama",8.1,1962
105,"Biography",7.7,1996
135,"Drama",8.1,1948
90,"Drama",7.7,1960
126,"Crime",7.7,2006
112,"Drama",8.3,2005
121,"Drama",7.9,2004
69,"Comedy",7.8,1933
167,"Comedy",8.2,2006
120,"Drama",7.7,2001
98,"Comedy",7.9,NA
163,"Action",8,2015
165,"Drama",8,2010
99,"Comedy",8.2,1942
96,"Animation",8,2007
115,"Animation",7.9,2001
86,"Mystery",7.6,1935
104,"Action",7.6,2006
116,"Adventure",7.7,2002
110,"Drama",8.1,1957
159,"Drama",7.7,2011
94,"Comedy",7.8,2005
75,"Drama",7.8,1935
91,"Drama",8.1,1972
125,"Biography",8.4,2017
100,"Adventure",7.8,1944
113,"Drama",7.9,2007
138,"Mystery",8,1972
117,"Animation",8.1,2012
80,"Drama",7.7,1956
113,"Drama",7.8,2003
106,"Drama",7.8,2010
97,"Drama",7.6,2015
96,"Drama",8.1,1957
130,"Drama",8.1,2008
67,"Action",8.1,1926
104,"Drama",8,1987
125,"Drama",8.1,1991
156,"Comedy",8.1,2003
104,"Drama",7.8,2013
75,"Drama",8,1925
97,"Drama",7.9,2004
119,"Drama",8,2009
104,"Comedy",7.9,1950
95,"Adventure",8.2,1925
110,"Biography",8.1,1928
93,"Comedy",7.6,2003
91,"Comedy",7.7,1955
142,"Comedy",8.3,1988
118,"Animation",7.6,1991
186,"Biography",8.2,2013
117,"Crime",8,1955
98,"Animation",7.7,2006
96,"Action",8.1,1962
105,"Drama",7.8,1962
95,"Drama",8.1,1962
106,"Comedy",8,1949
130,"Drama",7.8,2013
113,"Action",7.6,2009
94,"Drama",8.1,1927
138,"Action",8.2,2018
111,"Drama",8.1,1951
76,"Animation",7.8,1993
85,"Comedy",7.7,1975
102,"Comedy",7.9,1972
110,"Drama",8.1,1957
210,"Drama",8.2,2004
72,"Comedy",8.1,1928
137,"Comedy",8,2001
151,"Comedy",8.1,2012
128,"Action",7.8,1992
108,"Biography",7.7,1994
101,"Drama",7.9,1945
144,"Drama",7.9,1960
136,"Drama",8.1,NA
105,"Drama",7.7,2002
146,"Adventure",8.2,2013
110,"Action",7.8,2000
143,"Comedy",8.2,2019
100,"Animation",7.7,1979
103,"Crime",7.8,1997
184,"Biography",7.8,2016
128,"Biography",8.1,1960
90,"Drama",7.9,1959
127,"Adventure",8,2004
132,"Crime",8.2,2015
122,"Drama",8.4,1971
124,"Comedy",8,2018
122,"Mystery",8.1,2012
192,"Drama",7.8,2004
80,"Animation",7.8,2003
183,"Comedy",8.1,2001
